record_id,drugs1,drugs2,drugs3,drugs4,drugs5,drugs6,drugs7,drugs8,drugs9,drugs10,gender_prob_1,gender_prob_2,gender_prob_3,gender_prob_4,gender_prob_5,gender_prob_6,gender_prob_7,gender_prob_8,gender_prob_9,gender_prob_10,gender_prob_11,gender_prob_12,gender_prob_13,gender_prob_14,gender_prob_15,gender_prob_16,gender_prob_17,gender_prob_18,gender_prob_19,orientation_prob1,orientation_prob2,orientation_prob3,orientation_prob4,orientation_prob5,orientation_prob6,orientation_prob7,orientation_prob8,orientation_prob9,orientation_prob10,orientation_prob11,orientation_prob12,orientation_prob13,orientation_prob14,orientation_prob15,orientation_prob16,orientation_prob17
63,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,4,4,5,3,3,4,5,3,3,2,2,3,3,2,2,1,1,2,2,3,4,2,2,1,1,2,3,2,2,2,3,3,2,2,1,3,3,2,2,1,4,3,3,2,2,1
76,3,4,4,5,5,4,4,3,3,2,3,3,2,2,1,2,3,3,2,2,1,1,3,3,2,2,3,2,1,2,3,3,2,1,3,3,2,2,1,1,2,3,3,2,2,1
77,4,5,5,4,3,4,4,5,5,3,3,3,2,1,2,3,3,2,2,3,3,4,4,2,2,3,3,2,1,2,3,3,2,2,1,2,3,3,2,2,1,1,2,3,3,2
80,3,4,5,4,3,3,5,6,4,3,2,1,3,4,1,2,3,3,4,3,2,1,1,2,3,4,4,3,3,2,2,3,4,1,2,3,2,1,1,2,4,3,4,3,2,1
82,3,4,5,6,5,4,3,2,3,4,2,3,4,3,1,1,2,3,4,4,3,2,2,1,1,2,3,4,2,2,2,1,1,1,2,4,2,1,2,2,3,3,3,4,3,2
85,1,1,2,2,1,1,1,1,1,1,2,3,4,3,2,2,1,1,1,2,3,3,4,3,2,2,1,3,4,2,3,2,4,2,4,3,3,2,2,2,2,2,1,1,1,1
86,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,4,3,2,2,1,1,2,3,4,3,3,2,1,2,3,3,4,2,2,2,1,2,1,2,3,3,4,3,2,1
87,1,1,2,2,1,1,1,1,1,1,2,3,3,3,2,1,1,4,4,3,3,2,2,1,3,2,4,4,3,1,3,2,3,2,2,2,2,3,3,4,4,3,3,2,1,1
91,1,1,2,2,1,4,2,2,1,2,2,3,3,4,3,2,1,1,2,3,4,3,2,3,2,2,1,2,3,2,3,4,3,3,1,2,3,4,4,2,3,2,1,1,2,3
